Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
988,635,770,607,1103,421,701,391,866,796
988,636,770,608,1103,422,701,391,866,796
988,638,771,608,1104,422,703,391,867,797
988,637,771,609,1104,422,702,391,868,797
988,637,771,608,1104,421,703,391,868,796
988,638,771,608,1104,421,703,391,868,797
988,637,771,609,1103,419,702,391,868,797
988,637,771,609,1101,416,703,391,868,798
988,638,771,610,1101,417,703,391,869,798
988,638,770,612,1101,417,701,392,867,799
988,638,770,611,1101,417,701,392,868,799
988,638,771,610,1101,417,701,392,868,799
988,638,771,611,1102,417,701,393,868,800
988,638,770,612,1100,417,701,393,868,799
987,637,770,611,1100,417,701,393,867,799
987,640,770,612,1100,418,701,393,867,801
985,642,770,614,1100,419,700,395,866,804
986,642,771,614,1100,419,702,394,867,804
989,642,773,613,1102,420,705,394,869,803
988,642,773,612,1102,420,705,393,869,803
987,642,771,613,1102,420,704,393,868,803
986,642,770,614,1101,421,703,393,867,804
986,640,770,614,1101,421,701,393,866,801
986,640,769,614,1100,421,700,393,866,802
984,642,769,615,1100,422,700,394,865,803
985,643,770,615,1101,422,700,395,865,804
986,644,770,615,1102,423,702,395,866,805
986,644,771,616,1103,423,703,394,867,806
987,645,771,616,1103,423,703,394,867,806
986,644,771,616,1103,423,703,395,867,806
985,644,770,616,1102,423,702,395,866,806
986,644,770,616,1102,423,702,395,865,806
987,643,771,615,1102,423,702,396,867,806
987,642,771,614,1102,423,702,395,867,803
988,642,772,613,1102,422,702,394,868,802
988,643,772,614,1102,423,703,394,869,804
989,645,774,616,1102,426,706,396,870,806
991,645,775,617,1103,427,707,396,871,806
992,643,776,616,1103,425,708,396,871,805
991,644,775,616,1103,425,707,395,870,806
989,645,773,617,1103,425,705,397,869,807
988,644,772,617,1102,424,704,397,868,806
987,643,772,614,1102,423,704,396,868,803
988,640,771,611,1103,421,702,394,867,797
987,635,770,606,1102,420,702,391,865,788
987,631,770,601,1103,419,704,390,866,784
989,633,771,602,1105,423,706,391,866,785
986,631,768,594,1105,431,708,391,858,769
979,616,760,577,1105,437,707,391,852,739
976,592,754,557,1104,438,702,389,839,712
973,572,750,542,1101,420,692,387,834,694
972,559,746,534,1097,410,684,384,833,680
970,550,741,532,1093,407,677,386,835,674
969,550,739,531,1084,402,671,385,834,675
966,558,738,539,1091,405,670,386,832,690
963,563,734,545,1086,404,667,388,824,703
958,568,729,551,1083,404,665,386,818,713
951,587,724,568,1082,408,662,392,815,743
947,619,722,600,1083,422,657,406,813,796
944,659,719,640,1081,445,657,424,812,838
947,696,716,671,1078,464,654,444,812,878
941,722,713,694,1073,478,650,461,811,907
937,737,707,712,1070,494,647,473,801,925
934,756,703,731,1065,503,637,486,801,951
939,776,708,758,1066,512,632,500,813,978
948,785,717,777,1065,515,627,509,833,988
959,785,730,790,1066,511,630,509,849,997
968,792,737,792,1074,510,640,509,855,999
972,797,740,794,1080,511,649,511,858,1001
968,810,737,799,1085,529,654,522,845,1005
951,819,721,797,1083,543,654,524,819,1005
938,829,708,803,1078,550,650,525,803,1009
930,842,698,812,1074,555,636,532,795,1017
919,847,688,818,1065,554,628,530,781,1022
913,851,682,817,1064,558,624,531,776,1022
905,858,670,824,1056,565,617,541,762,1025
895,869,661,829,1051,575,609,546,747,1030
889,872,653,829,1047,575,603,546,737,1033
880,877,650,832,1047,576,599,547,739,1036
1026,681,838,665,1111,389,767,370,919,854
1019,679,830,668,1100,381,755,375,914,853
1002,679,815,661,1086,377,736,374,893,848
980,692,792,664,1083,386,729,374,865,858
963,708,774,675,1084,405,724,381,847,866
956,712,766,682,1079,410,718,381,845,872
956,715,766,692,1075,410,714,385,847,877
956,716,765,695,1068,409,711,385,848,879
958,711,766,693,1064,407,706,388,851,873
965,703,773,688,1062,404,709,386,862,872
973,696,781,686,1057,396,711,385,870,870
973,692,781,683,1060,396,713,382,872,866
973,687,782,677,1057,387,714,376,871,861
975,685,784,672,1057,384,719,372,873,857
977,684,785,670,1056,382,721,369,872,856
977,683,785,669,1056,382,723,370,872,855
977,680,786,667,1050,374,723,369,874,850
978,677,787,662,1045,369,724,368,875,849
978,676,788,661,1047,372,726,367,876,847
979,675,789,659,1049,373,727,367,878,847
981,674,790,657,1048,371,728,365,880,844
984,670,792,654,1046,370,730,365,881,839
985,670,794,654,1045,369,733,367,884,839
985,670,794,654,1046,370,733,368,885,839
985,669,793,654,1050,374,732,367,882,839
985,669,793,654,1052,376,731,366,882,840
984,670,793,654,1053,377,731,366,881,840
983,670,792,654,1054,378,731,366,880,839
984,670,793,654,1054,378,732,366,881,838
985,668,794,653,1055,378,733,365,882,836
984,668,794,652,1056,379,733,365,881,835
984,669,793,653,1056,380,734,366,880,838
984,669,793,654,1056,380,733,367,881,839
984,669,793,654,1056,381,733,367,881,838
984,669,793,653,1055,380,732,367,880,838
983,669,792,653,1056,381,731,366,880,838
984,670,792,654,1056,381,732,366,880,839
983,671,792,654,1056,381,732,366,881,839
984,669,793,653,1058,383,732,366,881,838
983,669,791,652,1058,384,732,366,880,837
982,669,790,652,1058,385,730,366,878,835
981,669,790,652,1057,385,730,365,877,835
984,670,791,654,1054,382,729,365,879,839
986,669,794,655,1054,381,729,368,882,839
987,666,795,652,1053,383,729,369,884,833
988,664,796,650,1053,382,732,369,888,832
988,665,797,651,1053,384,731,368,889,832
989,664,797,648,1056,389,731,368,889,829
992,656,798,640,1056,388,731,366,889,822
