Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1169,481,996,543,1104,270,800,360,1159,657
1169,481,996,542,1104,270,802,358,1157,657
1170,483,996,542,1105,270,803,359,1157,657
1171,481,996,542,1106,271,803,358,1158,657
1172,481,997,542,1106,271,805,356,1157,657
1171,481,997,540,1107,271,805,356,1157,656
1171,480,998,540,1107,270,805,355,1156,656
1170,481,996,540,1107,270,805,354,1155,657
1169,482,994,541,1108,269,804,354,1154,659
1169,483,994,541,1109,270,805,353,1154,659
1171,483,996,541,1109,270,806,354,1155,660
1171,480,997,540,1110,269,807,353,1156,657
1171,480,997,540,1114,270,807,353,1155,659
1171,481,998,540,1115,272,808,353,1155,659
1171,480,998,540,1115,271,808,353,1156,658
1171,479,997,540,1115,271,808,353,1156,658
1172,480,998,540,1115,270,807,353,1157,660
1172,481,998,540,1115,270,808,353,1155,660
1173,481,997,540,1115,269,808,353,1154,659
1172,480,996,539,1114,269,807,352,1154,658
1172,480,997,539,1114,269,808,353,1155,657
1171,478,997,538,1115,269,808,352,1155,656
1172,478,997,537,1116,270,810,353,1155,655
1173,481,997,540,1116,270,810,353,1155,660
1171,484,996,542,1116,271,810,353,1153,662
1171,487,997,548,1119,274,810,356,1154,666
1178,492,1001,546,1119,275,813,356,1158,666
1179,488,1002,543,1119,273,815,355,1159,664
1178,489,1000,543,1118,272,814,355,1157,665
1177,489,998,545,1117,273,811,355,1153,662
1176,486,999,543,1116,272,812,356,1157,661
1177,487,1000,542,1118,272,814,356,1159,660
1178,491,1000,543,1119,273,816,356,1160,663
1178,492,1000,545,1120,274,816,356,1160,662
1177,492,998,548,1120,275,815,356,1155,665
1175,488,997,542,1119,273,813,356,1154,662
1174,487,997,542,1117,272,812,356,1153,663
1173,489,995,545,1116,273,810,355,1151,663
1175,490,996,544,1117,273,811,356,1153,665
1176,491,997,546,1118,274,814,356,1155,667
1176,494,998,549,1119,275,813,356,1154,671
1175,495,998,549,1119,277,813,356,1152,672
1174,491,997,547,1119,277,814,356,1152,667
1174,489,997,543,1118,274,814,356,1151,663
1172,488,996,543,1117,274,812,356,1149,663
1172,488,996,543,1116,273,812,356,1150,663
1172,489,996,543,1117,273,813,356,1152,662
1173,487,998,543,1117,274,814,356,1154,663
1174,490,996,546,1118,275,814,356,1152,665
1173,492,995,548,1118,275,811,355,1151,667
1173,494,995,550,1119,277,813,356,1152,668
1176,492,998,549,1119,276,817,356,1153,669
1174,491,997,548,1118,275,815,356,1151,670
1174,492,998,547,1116,274,814,356,1151,667
1173,490,996,546,1116,274,814,356,1150,665
1174,489,997,544,1116,273,813,356,1151,664
1172,489,996,544,1114,273,812,356,1151,663
